,,Unemployment,,Poverty,,Working Poor,,FT Work Access,,Rent Burden,,Homeownership,,Income,
,,BABS,HS,BABS,HS,BABS,BABS,BABS,HS,BABS,HS,BABS,HS,BABS,HS
Total GEOG-101,Overall,1.37675496187121,0.874025288050817,2.01438375213744,1.25904706582659,0.0717377028177633,0.205973581658662,1.01495733360891,0.998706359447909,1.6957216632692,1.10591710226252,0.750515683017471,0.63865237845793,0.868223359778353,0.830095448667963
"Albany County (East Central)--Albany City PUMA, New York",Capital Region,0,0,5.30824422217828,1.99834253413983,0,0.335406508893081,0.492912200902603,1.1549375070375,2.70241371936287,2.23285257080701,0.854869159441711,1.30953870626059,0.753435365066649,2.19948711740169
"Albany County (Outside Albany City) PUMA, New York",Capital Region,6.59964651656273,6.07700364586408,0.376006846556585,1.31326508802972,0,0.244803187352739,1.02318983968271,0.651321971764583,0,0.996841981322079,0.584798379907232,0.74085852387473,0.956803670250416,0.890958110220508
"Broome (Outer West) & Tioga Counties PUMA, New York",Southern Tier,0,0,0,2.30627551405449,0,0.636771334580259,1.14480045890355,0.609212910098631,#DIV/0!,7.70935960591133,1.13085823081429,0.90430906846881,1.05588693140949,1.92042047914745
"Broome County (West Central)--Greater Binghamton City & Greater Johnson City Village PUMA, New York",Southern Tier,6.3135578351444,3.36398616192538,2.2691116178685,2.09174892239556,0.207000115302761,0.730515347602349,1.0342762948189,1.11791339857204,2.98872698645612,1.1545321881211,0.450989732827238,1.11576741077825,1.26462701529967,0.469850863331757
"Cattaraugus & Allegany Counties PUMA, New York",Western NY,0,3.95679087267872,0,0.465313035823797,0,1.22806749637322,1.19074899214937,0.188933460980495,#DIV/0!,#DIV/0!,1.21427902183079,1.33559300354939,4.77362265435364,0.163447516746986
"Cayuga & Onondaga (South) Counties PUMA, New York",Central NY,0,0,0,0,0,0,1.17198013457225,0.280101150890749,#DIV/0!,#DIV/0!,1.16269675442262,1.06344623657417,1.33615738239866,1.31021531204961
"Chautauqua County PUMA, New York",Western NY,0,0,3.15175528040787,0,0.366728455925853,0,1.14602642476829,1.24139248862176,#DIV/0!,#DIV/0!,1.19842254519674,1.33414253511358,0.28117377151729,0.743028907981326
"Chemung (South) & Steuben (East) Counties--Greater Elmira & Greater Corning Cities PUMA, New York",Southern Tier,0,0,0.31700283506828,1.66060509663663,0.0401985434786921,0,1.01427070727417,0.646130438491135,0,#DIV/0!,0.946667480968349,1.66042631123773,2.43079962195943,0.86424198218509
"Chenango, Delaware & Broome (East) Counties PUMA; New York",Southern Tier,0,0,0.188601869954694,2.80341575436242,0,1.18832880651861,1.17111229661243,0.566846499661177,0,0,0.127208458565574,1.05906849100906,1.15712359581013,0.284297536324933
"Clinton, Franklin, Essex & Hamilton Counties PUMA; New York",North Country,0,0,2.38561882145027,0.883804478623494,0.415083974827062,0,0.700246231496332,1.04434539548236,#DIV/0!,0,1.19678365750299,0.635235457182858,0.733974708960733,0.693802321101912
"Columbia & Greene Counties PUMA, New York",Capital Region,0,0,0,0.880765599360697,0,0.173243707815236,0.948786150274442,0.662993183616876,#DIV/0!,0.763423017660306,1.2033152033152,1.0256688286241,2.90844129214593,0.393080950240032
"Dutchess County (North & East) PUMA, New York",Mid-Hudson,0,2.02200714512279,2.17420818064772,2.76730051639735,0,0.144315348793452,0.811706416931706,1.07463141113792,0,0,1.04488480516037,0.806281098833414,0.804184473071865,0.886800472783269
"Dutchess County (Southwest) PUMA, New York",Mid-Hudson,1.44944352759858,0.145883543927595,1.52552402675881,2.3908763364889,0,0.187676778422833,0.990534094530135,0.780565334092467,0,1.39875306089013,0.968142646016532,0.628291604985695,1.30054663439137,0.693109612559514
"Erie County (Central) PUMA, New York",Western NY,11.0244400736873,0,5.18821615946354,2.69530401614389,0.108524820493551,0.365151409219447,0.934346068067584,1.05457696431764,7.87556221889055,0.73132466569726,0.912403790520605,0.833336339205351,0.839710690692607,0.715084155592069
"Erie County (North Central) PUMA, New York",Western NY,1.1888408928717,0,6.9773166451334,6.17819794787318,0.040577548168271,0.59328732738665,1.09649815949044,0.963080879138717,1.05393514746619,1.69954456489009,0.368234733547694,0.266117647372488,1.24852955138319,0.423077360588558
"Erie County (Northeast) PUMA, New York",Western NY,0,0,3.64921972103301,0,0,0,1.03250565583308,0.478045878236598,#DIV/0!,#DIV/0!,1.07785840360855,1.21619494042294,1.85223601558348,0.656202985456835
"Erie County (Northwest) PUMA, New York",Western NY,22.0112274936674,0,2.85334074207238,4.02768112146269,0,0.833660829921159,0.884342184525112,1.30845436183514,15.5518789593456,0,0.34532911115901,0.387227054137484,0.827605523055594,0.593619771220119
"Erie County (South) PUMA, New York",Western NY,0,0,0,2.82163528085341,0,0.655346611677669,0.919162082343214,1.20102297405418,#DIV/0!,0,0.383923112913561,0.751164233334374,0.490093745868802,0.750318798727159
"Erie County (West Central)--Buffalo City (East) PUMA, New York",Western NY,0,4.95126369194158,8.4577665843654,1.73114065642619,0,0.508522090751126,0.499880970093736,1.17839016309465,0,0,0.354499878243815,1.37122720072097,0.882283666921162,0.399961351020095
"Erie County (West Central)--Buffalo City (West) PUMA, New York",Western NY,4.33267792058316,0.551489872657756,3.52380844213791,1.61545744546424,0.13533300736745,0.757130096195222,0.796560816287765,0.957845134225719,2.15539349589421,0.148498886526266,0.18840991584332,0.315900777417635,0.593979056455568,1.00677417817756
"Fulton & Montgomery Counties PUMA, New York",Mohawk Valley,0,0,0,0,0,0,0.968823833481733,0.982752724918877,0,0,0.682421631465758,0.601459012374822,0.729723506323594,0.778978645936869
"Genesee & Orleans Counties PUMA, New York",Finger Lakes,0,0,11.751470162923,1.38795930035822,0.415077085744495,0.17924137729963,1.21558289396602,1.00612263056708,#DIV/0!,#DIV/0!,1.07887465460939,1.29622911361496,0.483255339690305,0.561347443175182
"Herkimer (North & Central) & Oneida (Outer) Counties PUMA, New York",Mohawk Valley,0,0,0,1.96479258988118,0,0.245827366557225,1.16428978893326,1.20865121890636,0,3.40948587979725,0.0610278919339542,1.23731325683289,1.26849485431723,0.499329278586649
"Jefferson & Lewis Counties PUMA, New York",North Country,0,6.79925366925105,3.60266620738532,0.566127016067563,0,0.352889690302315,0.807391608630992,0.333900505044238,0,3.12958381439331,0.878508211844231,0.476166571591557,1.4973897373948,0.535837243405337
"Livingston & Wyoming Counties PUMA, New York",Finger Lakes,0,0,0,0,0,0,1.15244487056568,0.537652330405247,#DIV/0!,0,1.12014388489209,0.638668744059931,1.26504118913872,0.850024878051049
"Madison & Cortland Counties PUMA, New York",Central NY,0,0,0,0.6578073089701,0,0.283220201640605,1.08882308259668,1.2200254839903,0,0,0.489589613114397,0.17956869287793,3.03034274723759,0.257245076984318
"Monroe County (Central)--Greece & Gates Towns PUMA, New York",Finger Lakes,#DIV/0!,6.65386852821408,3.30832391769743,1.27612345839514,0,0,0.55670074907726,1.00820860926683,#DIV/0!,#DIV/0!,1.00822846270448,1.30441528217726,0.853036411464737,0.823796741643202
"Monroe County (Central)--Rochester City (East) PUMA, New York",Finger Lakes,24.3475613292351,0,1.36811529229361,0.749263981454651,0.109928811638592,0.281393183154522,0.894251560465048,0.790132613224801,3.22060280445054,0.795281010370177,1.50119106151878,0.932113745255429,0.812533336876612,0.736116901068521
"Monroe County (Central)--Rochester City (West) PUMA, New York",Finger Lakes,0,0,1.00156467194278,1.64201081384566,0,0.893723644100674,0.704997536450746,1.19976620398702,62.6578947368421,0.48371907789656,1.21711866231848,0.716920395522465,1.02710427473857,0.595067257297701
"Monroe County (East) PUMA, New York",Finger Lakes,13.6621315581786,0.845388959017461,2.43023249874863,0,0,0,1.16003413234039,1.16379262782684,0,0,0.541691007465965,1.14264595705213,1.24315228944872,0.744190206952682
"Monroe County (North & West) PUMA, New York",Finger Lakes,0,0,0,0,0,0,1.15680990531682,1.27560373699982,0,#DIV/0!,0.809706930249107,1.3419740777667,1.40488536398838,1.56213115169322
"Monroe County (South) PUMA, New York",Finger Lakes,6.21975992613112,1.3461013497411,2.0371838657023,1.4298322833249,0,0.265388956931962,0.99957737567874,1.20266051961773,1.77997045131805,0,0.707785229822233,1.2546523560775,0.998703465735822,0.617419171477013
"Nassau County (Central)--Hempstead Town (East Central) PUMA, New York",Long Island,0,1.25944938450632,2.09895579612088,0.431021452726093,0,0,1.14184472201072,0.971571071963602,#DIV/0!,#DIV/0!,1.06445687567838,1.14029071552871,1.11233958754197,0.759874153408502
"Nassau County (Central)--Hempstead Town (North Central)--Meadowbrook Corridor PUMA, New York",Long Island,0,1.0199365146038,2.06287894243341,1.40443740288851,0.157533315897342,0.353450601643055,1.07631058260677,0.986180955295462,0.379054695699982,1.85206251046272,0.788789166763032,0.916564257182438,0.875118530650949,0.653003291304524
"Nassau County (Central)--Hempstead Town (Northeast) PUMA, New York",Long Island,1.19455117927138,1.39188682715964,0,0.346089844341766,0,0.0499612063279928,1.00420925114293,1.12486994139312,#DIV/0!,0.700855513307985,1.12139055599592,0.744978448552789,0.931928798592747,0.859710594753848
"Nassau County (East Central)--Oyster Bay Town (Central) PUMA, New York",Long Island,0.448256792998067,0,0.900059257984103,0.940202802657414,0,0,1.08553112658773,0.950125824771162,0.745210349595102,0,0.933101354701896,0.959104005176533,0.690870113751757,1.3603471391818
"Nassau County (Northeast)--Oyster Bay Town (North) & Glen Cove City PUMA, New York",Long Island,0.841742228071121,0,1.43132044449432,1.37436333358881,0.0310571010647808,0.190398175237039,1.11247253357839,1.28224605656515,1.62101482383998,1.72349389979291,0.855792524545416,0.841281943365481,0.703525456967608,0.676602158084886
"Nassau County (Northwest)--North Hempstead Town (North) PUMA, New York",Long Island,0.517105179164184,1.45915460116441,1.75808771611016,0.95911426317697,0.0261369154113187,0.0788022182809447,1.15160344284198,1.06390496424803,#DIV/0!,0.523930342521047,0.857347501468513,0.707407143653501,0.611747663849836,0.923201964538379
"Nassau County (South Central)--Hempstead Town (Southeast) PUMA, New York",Long Island,9.26225800486479,0.281325389187284,0,1.42095320664197,0,0.154030913838923,0.954085048366554,1.10632747564901,0,1.30994292990155,0.920160969522595,0.897295789561846,0.758202510801292,0.595544059886959
"Nassau County (Southeast)--Oyster Bay Town (South) PUMA, New York",Long Island,7.60159547433319,0,2.7040084760217,0,0,0,1.00750918536894,1.02099138642427,#DIV/0!,#DIV/0!,1.07011434958301,1.15810438996345,0.753202099931487,0.619880017956496
"Nassau County (Southwest)--Hempstead Town (Southwest) & Long Beach City PUMA, New York",Long Island,0,0.668727515266292,0,4.57844215375391,0,0.164003643991082,1.1210042579708,0.738086753415378,0,2.15606642171835,0.632192889707193,1.15953701630413,0.820792341182979,1.1116339454065
"Nassau County (West Central)--Hempstead Town (Northwest) PUMA, New York",Long Island,0.933510491015584,0.340320685963963,4.87018036726379,0.397868378901119,0,0.0288122343796383,1.06186183089969,0.951393730856601,0,0,0.8923950380386,1.07909218484769,1.25074107469514,0.669449335693061
"Nassau County (West Central)--Hempstead Town (West Central) PUMA, New York",Long Island,0,1.6652851922672,0,1.81485727632557,0,0.0805442176870748,1.09724410776812,1.12121113814544,0,4.06489584932699,1.10494080403922,1.11306347438643,0.571898764861164,0.814206547423833
"Nassau County (West Central)--North Hempstead Town (South) PUMA, New York",Long Island,0.378621816587621,0,0.577310283032137,0.0990194619456284,0.0161078119906895,0,1.08456772727226,1.23642014434238,1.0900039824771,0,0.91991114122634,1.17827767049462,0.871454413533311,0.850959509987924
"Niagara County (North & East) PUMA, New York",Western NY,#DIV/0!,5.92442810457516,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,0,#DIV/0!,5.41413150147203,#DIV/0!,0.474753374870197,#VALUE!,#VALUE!
"Niagara County (Southwest)--Greater Niagara Falls & North Tonawanda Area PUMA, New York",Western NY,0,3.54171935615235,1.25127885215221,2.42206178919655,0,0.777751048118895,1.15907958960056,1.06050781981866,#DIV/0!,0,1.10760085753264,1.24488298110094,0.231427280103244,0.330216378374928
"NYC-Bronx Community District 1 & 2--Hunts Point, Longwood & Melrose PUMA; New York",New York,1.36641716272765,0.279949754511726,0.521930904658948,0.734299142658696,0,0.449438344704653,1.03511253836039,1.24306544969066,0.283149023837449,0.574372438055139,0.222988353601584,1.54667816716183,0.85060461627167,0.835858378912807
"NYC-Bronx Community District 10--Co-op City, Pelham Bay & Schuylerville PUMA; New York",New York,0.341321492388924,0.105358968050038,0.128209066411603,0.811953698276872,0.0136006226987998,0,0.917340296802638,0.782916070693199,0,3.34817702674188,1.06877945000394,1.18428524117189,0.863385353050109,1.13684916672639
"NYC-Bronx Community District 11--Pelham Parkway, Morris Park & Laconia PUMA; New York",New York,10.5631264557682,0.397264535396165,0.655473407721127,0.984836187649787,0,0.183365932326864,1.12679649309571,0.987033732270212,0.659793342970892,1.31707847402753,1.02617363626996,0.930525234147059,1.00100800542178,0.862575108615235
"NYC-Bronx Community District 12--Wakefield, Williamsbridge & Woodlawn PUMA; New York",New York,1.18138631002769,0.193372706948157,4.83509987249748,1.10915638767409,0.243921769463179,0.204227671098663,0.989201897754078,0.864719142282632,6.18798621219089,1.15427180599934,0.935475895201968,1.00376336056322,0.898078977879828,1.12034746127367
"NYC-Bronx Community District 3 & 6--Belmont, Crotona Park East & East Tremont PUMA; New York",New York,0.231463451254865,0.453231098746544,1.05667967358343,0.775310140883719,0.140826845556202,0.354978004196106,1.07551043429216,1.33005842412698,1.19154257794323,0.630132173942959,0.682404994489769,0.713147259885939,0.73059906101967,0.823591384334114
"NYC-Bronx Community District 4--Concourse, Highbridge & Mount Eden PUMA; New York",New York,0.862458224353386,1.1035284149196,2.06608784707685,0.853901997873752,0.337484678267404,0.346614506405213,1.36762978504114,1.15773676000971,3.32683307332293,0.89580593085269,0.0567923098409842,0.190770166602113,0.867465917417166,0.802876303370622
